==> /mnt/v0/result_v2/datasets/1351[0.001].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,29,0,0,0,1577808017,0,0,0,1,0
0,0,52,0,0,0,1577808021,0,0,0,1,0
0,0,11,0,0,0,1577808017,1,0,0,1,1
0,0,22,0,0,0,1577808017,0,0,0,1,0
0,0,54,0,0,0,1577808021,0,0,0,1,0
0,0,9,0,0,0,1577808020,0,0,0,1,0
0,0,18,0,0,0,1577808020,0,0,0,1,0
0,0,46,0,0,0,1577808020,0,0,0,1,0
0,0,4,0,0,0,1577808002,1,0,0,1,1

==> /mnt/v0/result_v2/datasets/7[0.01].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,2933,0,0,0,1577811395,0,0,0,4096,0
0,0,7751,0,0,0,1577811396,0,0,0,4096,0
0,0,11,0,0,0,1577808017,1,0,0,8192,1
0,0,2805,0,0,0,1577811391,0,0,0,4096,0
0,0,7132,0,0,0,1577811396,0,0,0,4096,0
0,0,19,0,0,0,1577808047,0,0,0,8192,1
0,0,2343,0,0,0,1577811396,0,0,0,4096,0
0,0,7075,0,0,0,1577811396,0,0,0,4096,0
0,0,4,0,0,0,1577808002,1,0,0,8192,1

==> /mnt/v0/result_v2/datasets/7[0.01,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,632,0,0,0,1577808619,0,0,0,1,0
0,0,1629,0,0,0,1577808619,0,0,0,1,0
0,0,11,0,0,0,1577808017,1,0,0,1,1
0,0,606,0,0,0,1577808617,0,0,0,1,0
0,0,1404,0,0,0,1577808620,0,0,0,1,0
0,0,19,0,0,0,1577808047,0,0,0,1,1
0,0,500,0,0,0,1577808616,0,0,0,1,0
0,0,1478,0,0,0,1577808619,0,0,0,1,0
0,0,4,0,0,0,1577808002,1,0,0,1,1

==> /mnt/v0/result_v2/datasets/7[0.1].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,67464,0,0,0,1577882015,0,0,0,4096,0
0,0,6,0,0,0,1577873441,6813,0,0,26112,1
0,0,5,0,0,0,1577850670,6354,0,0,1536,0
0,0,238294,0,0,0,1577882016,0,0,0,4096,0
0,0,11,0,0,0,1577808017,1,0,0,8192,1
0,0,5,0,0,0,1577872433,4522,0,0,1536,1
0,0,2,0,0,0,1577854002,46002,0,0,1536,1
0,0,71041,0,0,0,1577882015,0,0,0,4096,0
0,0,6,0,0,0,1577869144,6655,0,0,17408,1

==> /mnt/v0/result_v2/datasets/7[0.1,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,13799,0,0,0,1577846297,0,0,0,1,0
0,0,2,0,0,0,1577835904,27904,0,0,1,1
0,0,4,0,0,0,1577844316,29430,0,0,1,0
0,0,44888,0,0,0,1577846297,0,0,0,1,0
